,Attack Name,Network,ProtocolContracts,Attacker,MatchingHashes_TP,MatchingHashes_FP,matchingcontractaddresses
45,Conic,Mainnet,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xec037423a61b634bfc490dcc215236349999ca3d,0xdf848c4e02ae9d0492ed796b5e2e4f414b28c7c6,0x92bffb71bbe241ba9cdfb3a4e56e48dc4f118ed7,0xcb7c67bdde9f7af0667e8d82bb87f1432bd1d902,0x3f41480dd3b32f1cc579125f9570dccd07e07667,0x5f2e1ac047e6a8526f8640a7ed8ab53a0b3f4acf,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0xc67e9cdf599369130dd0841ee5cb8ebf9bb661c4,0x5296e0cc7b64808ddd0a4932bb03072440ce3e95,0x74ea6d777a4aec782eba0acae61142aac69d3e2f,0x07b577f10d4e00f3018542d08a87f255a49175a5,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,0xabb735648a076d570aff2a61d8d141099823eae9,0xf432110e5206356cd6448da16b05394a89b44cef,0x40293380f5292bb13905608b35a936c332f07f94,0x3565a68666fd3a6361f06f84637e805b727b4a47","0x160b431bdc7c2cedb2838e5e74c26886aad65d8f,0x3d32c5a2e592c7b17e16bddc87eab75f33ae3010,0x10db234e02c3889d8e408c7084e8ce10892bdad7,0x743599ba5cfa3ce8c59691af5ef279aaafa2e4eb,0x8d67db0b205e32a5dd96145f022fa18aae7dc8aa",,0xed47fe79bb05b4a63a81b1b77952182427612af678f7232c0f066d83ec99b844,"0x013a3da6591d3427f164862793ab4e388f9b587e,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f"
46,Conic,Mainnet,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xec037423a61b634bfc490dcc215236349999ca3d,0xdf848c4e02ae9d0492ed796b5e2e4f414b28c7c6,0x92bffb71bbe241ba9cdfb3a4e56e48dc4f118ed7,0xcb7c67bdde9f7af0667e8d82bb87f1432bd1d902,0x3f41480dd3b32f1cc579125f9570dccd07e07667,0x5f2e1ac047e6a8526f8640a7ed8ab53a0b3f4acf,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0xc67e9cdf599369130dd0841ee5cb8ebf9bb661c4,0x5296e0cc7b64808ddd0a4932bb03072440ce3e95,0x74ea6d777a4aec782eba0acae61142aac69d3e2f,0x07b577f10d4e00f3018542d08a87f255a49175a5,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,0xabb735648a076d570aff2a61d8d141099823eae9,0xf432110e5206356cd6448da16b05394a89b44cef,0x40293380f5292bb13905608b35a936c332f07f94,0x3565a68666fd3a6361f06f84637e805b727b4a47","0x160b431bdc7c2cedb2838e5e74c26886aad65d8f,0x3d32c5a2e592c7b17e16bddc87eab75f33ae3010,0x10db234e02c3889d8e408c7084e8ce10892bdad7,0x743599ba5cfa3ce8c59691af5ef279aaafa2e4eb,0x8d67db0b205e32a5dd96145f022fa18aae7dc8aa",,0xea2d16d70c9962c5a04564c9157ef7ae69dfe1b70791f1f43863810bf93fba3d,"0x013a3da6591d3427f164862793ab4e388f9b587e,0xec037423a61b634bfc490dcc215236349999ca3d,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,0xabb735648a076d570aff2a61d8d141099823eae9,0xf432110e5206356cd6448da16b05394a89b44cef,0x3565a68666fd3a6361f06f84637e805b727b4a47"
47,Conic,Mainnet,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xec037423a61b634bfc490dcc215236349999ca3d,0xdf848c4e02ae9d0492ed796b5e2e4f414b28c7c6,0x92bffb71bbe241ba9cdfb3a4e56e48dc4f118ed7,0xcb7c67bdde9f7af0667e8d82bb87f1432bd1d902,0x3f41480dd3b32f1cc579125f9570dccd07e07667,0x5f2e1ac047e6a8526f8640a7ed8ab53a0b3f4acf,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0xc67e9cdf599369130dd0841ee5cb8ebf9bb661c4,0x5296e0cc7b64808ddd0a4932bb03072440ce3e95,0x74ea6d777a4aec782eba0acae61142aac69d3e2f,0x07b577f10d4e00f3018542d08a87f255a49175a5,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,0xabb735648a076d570aff2a61d8d141099823eae9,0xf432110e5206356cd6448da16b05394a89b44cef,0x40293380f5292bb13905608b35a936c332f07f94,0x3565a68666fd3a6361f06f84637e805b727b4a47","0x160b431bdc7c2cedb2838e5e74c26886aad65d8f,0x3d32c5a2e592c7b17e16bddc87eab75f33ae3010,0x10db234e02c3889d8e408c7084e8ce10892bdad7,0x743599ba5cfa3ce8c59691af5ef279aaafa2e4eb,0x8d67db0b205e32a5dd96145f022fa18aae7dc8aa",,0xaffb21bbf4996cb12c3092509655dd5b318e12840fb7416c21983070dc74bfab,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0xabb735648a076d570aff2a61d8d141099823eae9"
48,Conic,Mainnet,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xec037423a61b634bfc490dcc215236349999ca3d,0xdf848c4e02ae9d0492ed796b5e2e4f414b28c7c6,0x92bffb71bbe241ba9cdfb3a4e56e48dc4f118ed7,0xcb7c67bdde9f7af0667e8d82bb87f1432bd1d902,0x3f41480dd3b32f1cc579125f9570dccd07e07667,0x5f2e1ac047e6a8526f8640a7ed8ab53a0b3f4acf,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0xc67e9cdf599369130dd0841ee5cb8ebf9bb661c4,0x5296e0cc7b64808ddd0a4932bb03072440ce3e95,0x74ea6d777a4aec782eba0acae61142aac69d3e2f,0x07b577f10d4e00f3018542d08a87f255a49175a5,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,0xabb735648a076d570aff2a61d8d141099823eae9,0xf432110e5206356cd6448da16b05394a89b44cef,0x40293380f5292bb13905608b35a936c332f07f94,0x3565a68666fd3a6361f06f84637e805b727b4a47","0x160b431bdc7c2cedb2838e5e74c26886aad65d8f,0x3d32c5a2e592c7b17e16bddc87eab75f33ae3010,0x10db234e02c3889d8e408c7084e8ce10892bdad7,0x743599ba5cfa3ce8c59691af5ef279aaafa2e4eb,0x8d67db0b205e32a5dd96145f022fa18aae7dc8aa",,0x8748e58971150c346cbb395028165781a1069e6698f4641c2f11d9abd3e01a3f,0x3565a68666fd3a6361f06f84637e805b727b4a47
49,Conic,Mainnet,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xec037423a61b634bfc490dcc215236349999ca3d,0xdf848c4e02ae9d0492ed796b5e2e4f414b28c7c6,0x92bffb71bbe241ba9cdfb3a4e56e48dc4f118ed7,0xcb7c67bdde9f7af0667e8d82bb87f1432bd1d902,0x3f41480dd3b32f1cc579125f9570dccd07e07667,0x5f2e1ac047e6a8526f8640a7ed8ab53a0b3f4acf,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0xc67e9cdf599369130dd0841ee5cb8ebf9bb661c4,0x5296e0cc7b64808ddd0a4932bb03072440ce3e95,0x74ea6d777a4aec782eba0acae61142aac69d3e2f,0x07b577f10d4e00f3018542d08a87f255a49175a5,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,0xabb735648a076d570aff2a61d8d141099823eae9,0xf432110e5206356cd6448da16b05394a89b44cef,0x40293380f5292bb13905608b35a936c332f07f94,0x3565a68666fd3a6361f06f84637e805b727b4a47","0x160b431bdc7c2cedb2838e5e74c26886aad65d8f,0x3d32c5a2e592c7b17e16bddc87eab75f33ae3010,0x10db234e02c3889d8e408c7084e8ce10892bdad7,0x743599ba5cfa3ce8c59691af5ef279aaafa2e4eb,0x8d67db0b205e32a5dd96145f022fa18aae7dc8aa",,0x63053806e3abd5ba4e3bc36a22e300ceb7b1fdd5178e7ba349e9dbc2b6c061bc,0x3565a68666fd3a6361f06f84637e805b727b4a47
50,Conic,Mainnet,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xec037423a61b634bfc490dcc215236349999ca3d,0xdf848c4e02ae9d0492ed796b5e2e4f414b28c7c6,0x92bffb71bbe241ba9cdfb3a4e56e48dc4f118ed7,0xcb7c67bdde9f7af0667e8d82bb87f1432bd1d902,0x3f41480dd3b32f1cc579125f9570dccd07e07667,0x5f2e1ac047e6a8526f8640a7ed8ab53a0b3f4acf,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0xc67e9cdf599369130dd0841ee5cb8ebf9bb661c4,0x5296e0cc7b64808ddd0a4932bb03072440ce3e95,0x74ea6d777a4aec782eba0acae61142aac69d3e2f,0x07b577f10d4e00f3018542d08a87f255a49175a5,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,0xabb735648a076d570aff2a61d8d141099823eae9,0xf432110e5206356cd6448da16b05394a89b44cef,0x40293380f5292bb13905608b35a936c332f07f94,0x3565a68666fd3a6361f06f84637e805b727b4a47","0x160b431bdc7c2cedb2838e5e74c26886aad65d8f,0x3d32c5a2e592c7b17e16bddc87eab75f33ae3010,0x10db234e02c3889d8e408c7084e8ce10892bdad7,0x743599ba5cfa3ce8c59691af5ef279aaafa2e4eb,0x8d67db0b205e32a5dd96145f022fa18aae7dc8aa",,0x5cb04bcee41de044abd2d5edb07a039a08cdeb0537d9480d95d59af92b1b78cb,"0x013a3da6591d3427f164862793ab4e388f9b587e,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f"
51,Conic,Mainnet,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xec037423a61b634bfc490dcc215236349999ca3d,0xdf848c4e02ae9d0492ed796b5e2e4f414b28c7c6,0x92bffb71bbe241ba9cdfb3a4e56e48dc4f118ed7,0xcb7c67bdde9f7af0667e8d82bb87f1432bd1d902,0x3f41480dd3b32f1cc579125f9570dccd07e07667,0x5f2e1ac047e6a8526f8640a7ed8ab53a0b3f4acf,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0xc67e9cdf599369130dd0841ee5cb8ebf9bb661c4,0x5296e0cc7b64808ddd0a4932bb03072440ce3e95,0x74ea6d777a4aec782eba0acae61142aac69d3e2f,0x07b577f10d4e00f3018542d08a87f255a49175a5,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,0xabb735648a076d570aff2a61d8d141099823eae9,0xf432110e5206356cd6448da16b05394a89b44cef,0x40293380f5292bb13905608b35a936c332f07f94,0x3565a68666fd3a6361f06f84637e805b727b4a47","0x160b431bdc7c2cedb2838e5e74c26886aad65d8f,0x3d32c5a2e592c7b17e16bddc87eab75f33ae3010,0x10db234e02c3889d8e408c7084e8ce10892bdad7,0x743599ba5cfa3ce8c59691af5ef279aaafa2e4eb,0x8d67db0b205e32a5dd96145f022fa18aae7dc8aa",,0x5992b9990854d23c373115fc6eb06a49ce67f7cd0071045eda9224f5b3d55f68,"0x013a3da6591d3427f164862793ab4e388f9b587e,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f"
52,Conic,Mainnet,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xec037423a61b634bfc490dcc215236349999ca3d,0xdf848c4e02ae9d0492ed796b5e2e4f414b28c7c6,0x92bffb71bbe241ba9cdfb3a4e56e48dc4f118ed7,0xcb7c67bdde9f7af0667e8d82bb87f1432bd1d902,0x3f41480dd3b32f1cc579125f9570dccd07e07667,0x5f2e1ac047e6a8526f8640a7ed8ab53a0b3f4acf,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0xc67e9cdf599369130dd0841ee5cb8ebf9bb661c4,0x5296e0cc7b64808ddd0a4932bb03072440ce3e95,0x74ea6d777a4aec782eba0acae61142aac69d3e2f,0x07b577f10d4e00f3018542d08a87f255a49175a5,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,0xabb735648a076d570aff2a61d8d141099823eae9,0xf432110e5206356cd6448da16b05394a89b44cef,0x40293380f5292bb13905608b35a936c332f07f94,0x3565a68666fd3a6361f06f84637e805b727b4a47","0x160b431bdc7c2cedb2838e5e74c26886aad65d8f,0x3d32c5a2e592c7b17e16bddc87eab75f33ae3010,0x10db234e02c3889d8e408c7084e8ce10892bdad7,0x743599ba5cfa3ce8c59691af5ef279aaafa2e4eb,0x8d67db0b205e32a5dd96145f022fa18aae7dc8aa",,0x564861b42bc1688283fee2bcd734895f840d8fb93abcfdbe6a4702ebc3e67120,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0xabb735648a076d570aff2a61d8d141099823eae9"
53,Conic,Mainnet,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xec037423a61b634bfc490dcc215236349999ca3d,0xdf848c4e02ae9d0492ed796b5e2e4f414b28c7c6,0x92bffb71bbe241ba9cdfb3a4e56e48dc4f118ed7,0xcb7c67bdde9f7af0667e8d82bb87f1432bd1d902,0x3f41480dd3b32f1cc579125f9570dccd07e07667,0x5f2e1ac047e6a8526f8640a7ed8ab53a0b3f4acf,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0xc67e9cdf599369130dd0841ee5cb8ebf9bb661c4,0x5296e0cc7b64808ddd0a4932bb03072440ce3e95,0x74ea6d777a4aec782eba0acae61142aac69d3e2f,0x07b577f10d4e00f3018542d08a87f255a49175a5,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,0xabb735648a076d570aff2a61d8d141099823eae9,0xf432110e5206356cd6448da16b05394a89b44cef,0x40293380f5292bb13905608b35a936c332f07f94,0x3565a68666fd3a6361f06f84637e805b727b4a47","0x160b431bdc7c2cedb2838e5e74c26886aad65d8f,0x3d32c5a2e592c7b17e16bddc87eab75f33ae3010,0x10db234e02c3889d8e408c7084e8ce10892bdad7,0x743599ba5cfa3ce8c59691af5ef279aaafa2e4eb,0x8d67db0b205e32a5dd96145f022fa18aae7dc8aa",,0x34c095d029ff7a72cc59685412e1620035ecfcdac62c9e298449c103152e9fe8,"0x013a3da6591d3427f164862793ab4e388f9b587e,0x3565a68666fd3a6361f06f84637e805b727b4a47"
54,Conic,Mainnet,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xec037423a61b634bfc490dcc215236349999ca3d,0xdf848c4e02ae9d0492ed796b5e2e4f414b28c7c6,0x92bffb71bbe241ba9cdfb3a4e56e48dc4f118ed7,0xcb7c67bdde9f7af0667e8d82bb87f1432bd1d902,0x3f41480dd3b32f1cc579125f9570dccd07e07667,0x5f2e1ac047e6a8526f8640a7ed8ab53a0b3f4acf,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0xc67e9cdf599369130dd0841ee5cb8ebf9bb661c4,0x5296e0cc7b64808ddd0a4932bb03072440ce3e95,0x74ea6d777a4aec782eba0acae61142aac69d3e2f,0x07b577f10d4e00f3018542d08a87f255a49175a5,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,0xabb735648a076d570aff2a61d8d141099823eae9,0xf432110e5206356cd6448da16b05394a89b44cef,0x40293380f5292bb13905608b35a936c332f07f94,0x3565a68666fd3a6361f06f84637e805b727b4a47","0x160b431bdc7c2cedb2838e5e74c26886aad65d8f,0x3d32c5a2e592c7b17e16bddc87eab75f33ae3010,0x10db234e02c3889d8e408c7084e8ce10892bdad7,0x743599ba5cfa3ce8c59691af5ef279aaafa2e4eb,0x8d67db0b205e32a5dd96145f022fa18aae7dc8aa",,0x2a4c682b6ed234f91b441ee0368ebcd5a20f74053a616783e6180343976f76c7,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xabb735648a076d570aff2a61d8d141099823eae9"
55,Conic,Mainnet,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xec037423a61b634bfc490dcc215236349999ca3d,0xdf848c4e02ae9d0492ed796b5e2e4f414b28c7c6,0x92bffb71bbe241ba9cdfb3a4e56e48dc4f118ed7,0xcb7c67bdde9f7af0667e8d82bb87f1432bd1d902,0x3f41480dd3b32f1cc579125f9570dccd07e07667,0x5f2e1ac047e6a8526f8640a7ed8ab53a0b3f4acf,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0xc67e9cdf599369130dd0841ee5cb8ebf9bb661c4,0x5296e0cc7b64808ddd0a4932bb03072440ce3e95,0x74ea6d777a4aec782eba0acae61142aac69d3e2f,0x07b577f10d4e00f3018542d08a87f255a49175a5,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,0xabb735648a076d570aff2a61d8d141099823eae9,0xf432110e5206356cd6448da16b05394a89b44cef,0x40293380f5292bb13905608b35a936c332f07f94,0x3565a68666fd3a6361f06f84637e805b727b4a47",0xb6369f59fc24117b16742c9dfe064894d03b3b80,0xed47fe79bb05b4a63a81b1b77952182427612af678f7232c0f066d83ec99b844,,"0x013a3da6591d3427f164862793ab4e388f9b587e,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f"
56,Conic,Mainnet,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xec037423a61b634bfc490dcc215236349999ca3d,0xdf848c4e02ae9d0492ed796b5e2e4f414b28c7c6,0x92bffb71bbe241ba9cdfb3a4e56e48dc4f118ed7,0xcb7c67bdde9f7af0667e8d82bb87f1432bd1d902,0x3f41480dd3b32f1cc579125f9570dccd07e07667,0x5f2e1ac047e6a8526f8640a7ed8ab53a0b3f4acf,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0xc67e9cdf599369130dd0841ee5cb8ebf9bb661c4,0x5296e0cc7b64808ddd0a4932bb03072440ce3e95,0x74ea6d777a4aec782eba0acae61142aac69d3e2f,0x07b577f10d4e00f3018542d08a87f255a49175a5,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,0xabb735648a076d570aff2a61d8d141099823eae9,0xf432110e5206356cd6448da16b05394a89b44cef,0x40293380f5292bb13905608b35a936c332f07f94,0x3565a68666fd3a6361f06f84637e805b727b4a47",0xb6369f59fc24117b16742c9dfe064894d03b3b80,0x5cb04bcee41de044abd2d5edb07a039a08cdeb0537d9480d95d59af92b1b78cb,,"0x013a3da6591d3427f164862793ab4e388f9b587e,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f"
57,Conic,Mainnet,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xec037423a61b634bfc490dcc215236349999ca3d,0xdf848c4e02ae9d0492ed796b5e2e4f414b28c7c6,0x92bffb71bbe241ba9cdfb3a4e56e48dc4f118ed7,0xcb7c67bdde9f7af0667e8d82bb87f1432bd1d902,0x3f41480dd3b32f1cc579125f9570dccd07e07667,0x5f2e1ac047e6a8526f8640a7ed8ab53a0b3f4acf,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0xc67e9cdf599369130dd0841ee5cb8ebf9bb661c4,0x5296e0cc7b64808ddd0a4932bb03072440ce3e95,0x74ea6d777a4aec782eba0acae61142aac69d3e2f,0x07b577f10d4e00f3018542d08a87f255a49175a5,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,0xabb735648a076d570aff2a61d8d141099823eae9,0xf432110e5206356cd6448da16b05394a89b44cef,0x40293380f5292bb13905608b35a936c332f07f94,0x3565a68666fd3a6361f06f84637e805b727b4a47",0xb6369f59fc24117b16742c9dfe064894d03b3b80,0x5992b9990854d23c373115fc6eb06a49ce67f7cd0071045eda9224f5b3d55f68,,"0x013a3da6591d3427f164862793ab4e388f9b587e,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f"
58,Conic,Mainnet,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xec037423a61b634bfc490dcc215236349999ca3d,0xdf848c4e02ae9d0492ed796b5e2e4f414b28c7c6,0x92bffb71bbe241ba9cdfb3a4e56e48dc4f118ed7,0xcb7c67bdde9f7af0667e8d82bb87f1432bd1d902,0x3f41480dd3b32f1cc579125f9570dccd07e07667,0x5f2e1ac047e6a8526f8640a7ed8ab53a0b3f4acf,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0xc67e9cdf599369130dd0841ee5cb8ebf9bb661c4,0x5296e0cc7b64808ddd0a4932bb03072440ce3e95,0x74ea6d777a4aec782eba0acae61142aac69d3e2f,0x07b577f10d4e00f3018542d08a87f255a49175a5,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,0xabb735648a076d570aff2a61d8d141099823eae9,0xf432110e5206356cd6448da16b05394a89b44cef,0x40293380f5292bb13905608b35a936c332f07f94,0x3565a68666fd3a6361f06f84637e805b727b4a47",0xb6369f59fc24117b16742c9dfe064894d03b3b80,,0xecf73e10bae133999596e59e006d743716dca8936d1ee417dcd44ebba574fb44,"0x013a3da6591d3427f164862793ab4e388f9b587e,0x3565a68666fd3a6361f06f84637e805b727b4a47"
59,Conic,Mainnet,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xec037423a61b634bfc490dcc215236349999ca3d,0xdf848c4e02ae9d0492ed796b5e2e4f414b28c7c6,0x92bffb71bbe241ba9cdfb3a4e56e48dc4f118ed7,0xcb7c67bdde9f7af0667e8d82bb87f1432bd1d902,0x3f41480dd3b32f1cc579125f9570dccd07e07667,0x5f2e1ac047e6a8526f8640a7ed8ab53a0b3f4acf,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0xc67e9cdf599369130dd0841ee5cb8ebf9bb661c4,0x5296e0cc7b64808ddd0a4932bb03072440ce3e95,0x74ea6d777a4aec782eba0acae61142aac69d3e2f,0x07b577f10d4e00f3018542d08a87f255a49175a5,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,0xabb735648a076d570aff2a61d8d141099823eae9,0xf432110e5206356cd6448da16b05394a89b44cef,0x40293380f5292bb13905608b35a936c332f07f94,0x3565a68666fd3a6361f06f84637e805b727b4a47",0xb6369f59fc24117b16742c9dfe064894d03b3b80,,0xea2d16d70c9962c5a04564c9157ef7ae69dfe1b70791f1f43863810bf93fba3d,"0x013a3da6591d3427f164862793ab4e388f9b587e,0xec037423a61b634bfc490dcc215236349999ca3d,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,0xabb735648a076d570aff2a61d8d141099823eae9,0xf432110e5206356cd6448da16b05394a89b44cef,0x3565a68666fd3a6361f06f84637e805b727b4a47"
60,Conic,Mainnet,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xec037423a61b634bfc490dcc215236349999ca3d,0xdf848c4e02ae9d0492ed796b5e2e4f414b28c7c6,0x92bffb71bbe241ba9cdfb3a4e56e48dc4f118ed7,0xcb7c67bdde9f7af0667e8d82bb87f1432bd1d902,0x3f41480dd3b32f1cc579125f9570dccd07e07667,0x5f2e1ac047e6a8526f8640a7ed8ab53a0b3f4acf,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0xc67e9cdf599369130dd0841ee5cb8ebf9bb661c4,0x5296e0cc7b64808ddd0a4932bb03072440ce3e95,0x74ea6d777a4aec782eba0acae61142aac69d3e2f,0x07b577f10d4e00f3018542d08a87f255a49175a5,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,0xabb735648a076d570aff2a61d8d141099823eae9,0xf432110e5206356cd6448da16b05394a89b44cef,0x40293380f5292bb13905608b35a936c332f07f94,0x3565a68666fd3a6361f06f84637e805b727b4a47",0xb6369f59fc24117b16742c9dfe064894d03b3b80,,0xcc43523d4d71ecec90daf7db6625efd512a40610307ffb4e1235827bf13c1a7a,0x3565a68666fd3a6361f06f84637e805b727b4a47
61,Conic,Mainnet,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xec037423a61b634bfc490dcc215236349999ca3d,0xdf848c4e02ae9d0492ed796b5e2e4f414b28c7c6,0x92bffb71bbe241ba9cdfb3a4e56e48dc4f118ed7,0xcb7c67bdde9f7af0667e8d82bb87f1432bd1d902,0x3f41480dd3b32f1cc579125f9570dccd07e07667,0x5f2e1ac047e6a8526f8640a7ed8ab53a0b3f4acf,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0xc67e9cdf599369130dd0841ee5cb8ebf9bb661c4,0x5296e0cc7b64808ddd0a4932bb03072440ce3e95,0x74ea6d777a4aec782eba0acae61142aac69d3e2f,0x07b577f10d4e00f3018542d08a87f255a49175a5,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,0xabb735648a076d570aff2a61d8d141099823eae9,0xf432110e5206356cd6448da16b05394a89b44cef,0x40293380f5292bb13905608b35a936c332f07f94,0x3565a68666fd3a6361f06f84637e805b727b4a47",0xb6369f59fc24117b16742c9dfe064894d03b3b80,,0xaffb21bbf4996cb12c3092509655dd5b318e12840fb7416c21983070dc74bfab,"0x4d080be793fb7934a920cbdd95010b893aeda545,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,0x013a3da6591d3427f164862793ab4e388f9b587e,0xf4a364d6b513158dc880d0e8da6ae65b9688fd7b,0xabb735648a076d570aff2a61d8d141099823eae9"
